,banksy_niche,core_global,curl,elongation,purity,linearity
0,1,tma3_E1,0.0,0.28257951771309775,0.4681155275950815,1.0
1,1,tma3_E1,0.0,0.10252341173390067,0.9375,0.7788473530545127
2,1,tma3_D1,0.0,0.33401889524221107,0.9,0.8548290979809698
3,1,tma3_D1,0.0,0.5851972605664433,0.65,1.0
4,1,tma3_D1,0.0,0.3674776578695713,0.8085106382978723,1.0
5,1,tma3_D1,0.0,0.29960930262761654,0.5370370370370371,0.7427593959557154
6,1,tma3_E1,0.0,0.5207453387705964,0.6275862068965518,1.0
7,1,tma3_E1,0.0,0.3764498823278477,0.8888888888888888,1.0
8,1,tma3_E1,0.0,0.592446917901942,0.6336633663366337,0.9488117744780494
9,1,tma3_E1,0.0,0.690244781537737,0.6842105263157895,0.8424200947488317
10,1,tma3_E1,0.0,0.5772616522075156,1.0,0.906703811831493
11,1,tma3_D1,0.0,0.3125054409685881,0.5594855305466238,0.9326455848449431
12,1,tma3_D1,0.0,0.2917997328684031,0.4276729559748428,1.0
13,1,tma3_E1,0.0,0.277014002713716,0.9411764705882353,1.0
14,1,tma3_E1,0.0,0.049416495633338386,1.0,0.8480749491586508
15,1,tma3_D1,0.0,0.36645839072912656,0.47796610169491527,1.0
16,1,tma3_D1,0.0,0.049589258048651885,0.5714285714285714,0.7070521760845337
17,1,tma3_E1,0.0,0.6376734094753449,0.8333333333333334,1.0
18,1,tma3_E1,0.0,0.25492244184578383,1.0,1.0
19,1,tma3_E1,0.0,0.5411120278086343,0.6944444444444444,1.0
20,1,tma3_E1,0.0,0.6169292257102336,0.8,1.0
21,1,tma3_E1,0.0,0.6119974357193425,0.8333333333333334,1.0
22,1,tma3_E1,0.0,0.5798188447332732,0.7407407407407407,1.0
23,1,tma3_D2,0.0,0.18285845883116236,0.51,0.7773977912614815
24,1,tma3_D2,0.0,0.7100953370774752,0.6976744186046512,1.0
25,1,tma3_D2,0.0,0.5015047288181982,0.7857142857142857,1.0
26,1,tma3_D2,0.0,0.17085021931390587,0.34573002754820936,0.6428918103668273
27,1,tma3_D2,0.0,0.2467915026134776,0.7142857142857143,0.7033748803949462
28,1,tma3_D2,0.0,0.7401412998511061,1.0,1.0
29,1,tma3_C2,0.0,0.5009481926487973,0.5697674418604651,0.8349431296754025
30,1,tma3_C2,0.0,0.4893748375979433,0.7790697674418605,1.0
31,1,tma3_C2,0.0,0.7029070408891113,0.7428571428571429,0.9413158440784044
32,1,tma3_C2,0.0,0.6586176774094422,0.4765380604796663,1.0
33,1,tma3_C2,0.0,0.6277460921362006,0.7428571428571429,1.0
34,1,tma3_D2,0.0,0.690322711345785,0.7289719626168224,1.0
35,1,tma3_D2,0.0,0.6241106310491383,0.6129707112970711,1.0
36,1,tma3_D2,0.0,0.27578635449031363,0.9285714285714286,0.7176646457103936
37,1,tma3_D2,0.0,0.5673595771908924,0.5639412997903563,1.0
38,1,tma3_D2,0.0,0.4816195119379093,0.8,1.0
39,1,tma3_D2,0.0,0.3343642702251519,0.875,0.7412837854801821
40,1,tma3_D2,0.0,0.5168016517512084,0.7777777777777778,0.859488290724023
41,1,tma3_D2,0.0,0.5800950164886293,1.0,1.0
42,1,tma3_D2,0.0,0.4931033610898399,0.7931034482758621,0.8462852109562287
43,1,tma3_D2,0.0,0.15369908550820932,0.768595041322314,0.9468485318123059
44,1,tma3_D2,0.0,0.7962011105515667,0.7567567567567568,1.0
45,1,tma3_D2,0.0,0.5949482682449688,0.5817490494296578,0.8381813144699781
46,1,tma3_D2,0.0,0.538429107281229,0.8591549295774648,1.0
47,1,tma3_D2,0.0,0.4176585265354005,1.0,0.7978562122069114
48,1,tma3_D2,0.0,0.5910400810348535,0.9285714285714286,1.0
49,1,tma3_D2,0.0,0.5963772533228134,1.0,1.0
50,1,tma3_E2,0.0,0.41983621055704035,0.7641509433962265,0.9163387615400077
51,1,tma3_E2,0.0,0.20070866272668852,0.9090909090909091,0.7718205190008061
52,1,tma3_D2,0.0,0.3867699424201665,0.7450980392156863,0.9205873353734664
53,1,tma3_E2,0.0,0.31482786866631507,0.967741935483871,1.0
54,1,tma3_E2,0.0,0.13706783873164308,0.9047619047619048,0.5542772444944188
55,1,tma3_E1,0.0,0.424708958754639,0.7735849056603774,1.0
56,1,tma3_E1,0.0,0.441412404094485,1.0,0.7774025896553298
57,1,tma3_E1,0.0,0.46537993689307977,0.7283950617283951,0.7818256060861025
58,1,tma3_E1,0.0,0.3857400099901511,0.92,1.0
59,1,tma3_E1,0.0,0.6808860641364196,0.8571428571428571,1.0
60,1,tma3_E1,0.0,0.44964498834532807,0.835820895522388,1.0
61,1,tma3_E1,0.0,0.35129656683820887,0.8552631578947368,1.0
62,1,tma3_E1,0.0,0.22683609804802307,0.74,0.8490723068086096
63,1,tma3_E1,0.0,0.5834036779249178,0.6304347826086957,1.0
64,1,tma3_E1,0.0,0.5222507289373484,1.0,1.0
65,1,tma3_E1,0.0,0.4545838651786288,0.9736842105263158,1.0
66,1,tma3_E1,0.0,0.2865822408430737,0.6956521739130435,0.7379230083084131
67,1,tma3_E1,0.0,0.6341829631101099,1.0,1.0
68,1,tma3_E1,0.0,0.4376530909467812,0.9230769230769231,1.0
69,1,tma3_E1,0.0,0.7186500015383626,1.0,1.0
70,1,tma3_E1,0.013912974018587043,0.1707219298138567,0.7254901960784313,0.7644266189822321
71,1,tma3_E1,0.0,0.6834762733491773,0.7333333333333333,0.8884163653427454
72,1,tma3_E1,0.0,0.3495934044982397,0.6320754716981132,0.8779413926890108
73,1,tma3_E1,0.0,0.7343048791008815,0.6388888888888888,1.0
74,1,tma3_D1,0.0,0.4131955787797559,0.7307692307692307,0.8415404843297986
75,1,tma3_D1,0.0,0.2322823964016617,0.68,0.7962710037535394
76,1,tma3_D1,0.0,0.04482151212179597,0.4274193548387097,0.7167710815329476
77,1,tma3_D1,0.0,0.7190391152030509,0.5555555555555556,1.0
78,1,tma3_D1,0.0,0.5321369643224316,1.0,1.0
79,1,tma3_D1,0.0,0.6943335865711404,0.896551724137931,1.0
80,1,tma3_D1,0.0,0.5717252504887759,0.6705882352941176,0.9325196104023236
81,1,tma3_D1,0.0,0.5946991702495488,0.6666666666666666,1.0
82,1,tma3_F2,0.0,0.7250836757961769,0.6178861788617886,1.0
83,1,tma3_F2,0.0,0.29059429205139664,0.945054945054945,1.0
84,1,tma3_F2,0.0,0.6269290594332442,0.7413793103448276,1.0
85,1,tma3_F2,0.0,0.40836059111754863,0.4489795918367347,1.0
86,1,tma3_F2,0.0,0.2948257205500626,0.5633802816901409,0.9076932531040997
87,1,tma3_F2,0.0,0.5219306065712069,0.8484848484848485,1.0
88,1,tma3_F2,0.0,0.47870827996791687,1.0,1.0
89,1,tma3_F1,0.0,0.4942440031434624,0.651685393258427,1.0
90,1,tma3_F1,0.0,0.10456731191286173,0.5195652173913043,0.8790345291971999
91,1,tma3_F2,0.0,0.5066240823533915,0.3805970149253731,1.0
92,1,tma3_E1,0.0,0.027444476410504848,0.9411764705882353,0.760017766736995
93,1,tma3_F2,0.0,0.2704307799406439,0.6576576576576577,0.8724198828209887
94,1,tma3_F2,0.0,0.6185531492562786,0.4434782608695652,1.0
95,1,tma3_F2,0.0,0.5364753504710887,0.6666666666666666,1.0
96,1,tma3_F2,0.0,0.14073144384658254,0.43089430894308944,0.7736164492521757
97,1,tma3_F2,0.0,0.547353395468647,0.7272727272727273,1.0
98,1,tma3_F2,0.0,0.5425670565778316,0.5955056179775281,1.0
99,1,tma3_F2,0.0025023590272222895,0.26510164691912574,0.8,0.7287534930847829
100,1,tma3_F2,0.0,0.487031215760536,0.5527426160337553,0.9162744219140408
101,1,tma3_F2,0.0,0.4566308650692814,0.7368421052631579,0.8744453409497583
102,1,tma3_F2,0.0,0.4060846877732327,0.5502958579881657,0.7220149104578024
103,1,tma3_F2,0.0,0.7456839585947332,0.6818181818181818,1.0
104,1,tma3_F2,0.0,0.46117542734748074,0.6770833333333334,1.0
105,1,tma3_F2,0.0,0.3333775431357665,0.8888888888888888,0.8194416535496029
106,1,tma3_F2,0.0,0.5616159073274092,0.696969696969697,1.0
107,1,tma3_F2,0.0,0.6562826396199679,0.9259259259259259,0.8837343903357481
108,1,tma3_F2,0.0,0.26196010986642093,0.45180722891566266,0.7480277486907108
109,1,tma3_F2,0.0,0.4709637882082244,0.7079646017699115,1.0
110,1,tma3_F2,0.0,0.41974465714891895,1.0,0.8366054481187315
111,1,tma3_F2,0.0,0.35785735447795475,0.71875,0.7576909995640247
112,1,tma3_F2,0.0,0.5373177161331931,0.5274725274725275,0.9073211637745576
113,1,tma3_F2,0.0,0.2610291237303435,0.9230769230769231,0.7486965292541251
114,1,tma3_F2,0.0,0.40828522404412204,0.686046511627907,1.0
115,1,tma3_F2,0.0,0.494623735491737,1.0,1.0
116,1,tma3_F2,0.0,0.7856851988116267,0.7272727272727273,1.0
117,1,tma3_F2,0.0,0.4903622640905204,0.8823529411764706,1.0
118,1,tma3_F2,0.0,0.31965798324680383,0.6551724137931034,0.8314041097569677
119,1,tma3_E3,0.0,0.2634456632867378,0.7916666666666666,1.0
120,1,tma3_E3,0.0,0.4086486175942853,0.9461538461538461,1.0
121,1,tma3_E3,0.0,0.5109564502636967,0.6976377952755906,1.0
122,1,tma3_C3,0.0,0.30332363989735955,0.5302197802197802,0.7373401516545128
123,1,tma3_F2,0.0,0.20091705052656728,0.503731343283582,0.8369359281820774
124,1,tma3_F2,0.0,0.27471071827663207,0.8780487804878049,0.722176252699231
