,1,10,11,2,3,4,5,6,7,8,9
1,0.10299999999999998,0.30800000000000005,0.37,0.4,0.031000000000000028,0.07699999999999996,0.261,0.259,0.247,0.275,0.02100000000000002
10,0.013000000000000012,0.05400000000000005,0.37,0.019000000000000017,0.03500000000000003,0.06999999999999995,0.399,0.20999999999999996,0.08099999999999996,0.375,0.03700000000000003
11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0.04400000000000004,0.12,0.37,0.03700000000000003,0.32699999999999996,0.24,0.136,0.28,0.31399999999999995,0.20099999999999996,0.30900000000000005
3,0.013000000000000012,0.22999999999999998,0.37,0.19499999999999995,0.028000000000000025,0.32899999999999996,0.27,0.345,0.16000000000000003,0.502,0.123
4,0.013000000000000012,0.268,0.37,0.30000000000000004,0.30200000000000005,0.48,0.126,0.356,0.516,0.28300000000000003,0.262
5,0.013000000000000012,0.33099999999999996,0.35,0.20699999999999996,0.07699999999999996,0.09599999999999997,0.43700000000000006,0.21899999999999997,0.45999999999999996,0.29200000000000004,0.366
6,0.013000000000000012,0.33399999999999996,0.37,0.09999999999999998,0.08399999999999996,0.21799999999999997,0.242,0.33799999999999997,0.44199999999999995,0.15200000000000002,0.22199999999999998
7,0.008000000000000007,0.31599999999999995,0.37,0.31399999999999995,0.026000000000000023,0.11399999999999999,0.31100000000000005,0.31100000000000005,0.46299999999999997,0.266,0.397
8,0.019000000000000017,0.36,0.361,0.25,0.138,0.135,0.346,0.242,0.45799999999999996,0.32499999999999996,0.21199999999999997
9,0.0,0.28400000000000003,0.37,0.33299999999999996,0.14900000000000002,0.18400000000000005,0.42200000000000004,0.30100000000000005,0.471,0.31100000000000005,0.41700000000000004
